n	x	y	T(x,y)	Erro_Absoluto
13	3.3333	6.0000	35.5556	1.888889
13	4.0000	0.0000	64.0000	1.888889
13	4.0000	0.5000	67.5000	1.888889
13	4.0000	1.0000	70.0000	1.888889
13	4.0000	1.5000	71.5000	1.888889
13	4.0000	2.0000	72.0000	1.888889
13	4.0000	2.5000	71.5000	1.888889
13	4.0000	3.0000	70.0000	1.888889
13	4.0000	3.5000	67.5000	1.888889
13	4.0000	4.0000	64.0000	1.888889
13	4.0000	4.5000	59.5000	1.888889
13	4.0000	5.0000	54.0000	1.888889
13	4.0000	5.5000	47.5000	1.888889
13	4.0000	6.0000	40.0000	1.888889
13	4.6667	0.0000	59.5556	1.888889
13	4.6667	0.5000	63.7222	1.888889
13	4.6667	1.0000	66.8889	1.888889
13	4.6667	1.5000	69.0556	1.888889
13	4.6667	2.0000	70.2222	1.888889
13	4.6667	2.5000	70.3889	1.888889
13	4.6667	3.0000	69.5556	1.888889
13	4.6667	3.5000	67.7222	1.888889
13	4.6667	4.0000	64.8889	1.888889
13	4.6667	4.5000	61.0556	1.888889
13	4.6667	5.0000	56.2222	1.888889
13	4.6667	5.5000	50.3889	1.888889
13	4.6667	6.0000	43.5556	1.888889
13	5.3333	0.0000	54.2222	1.888889
13	5.3333	0.5000	59.0556	1.888889
13	5.3333	1.0000	62.8889	1.888889
13	5.3333	1.5000	65.7222	1.888889
13	5.3333	2.0000	67.5556	1.888889
13	5.3333	2.5000	68.3889	1.888889
13	5.3333	3.0000	68.2222	1.888889
13	5.3333	3.5000	67.0556	1.888889
13	5.3333	4.0000	64.8889	1.888889
13	5.3333	4.5000	61.7222	1.888889
13	5.3333	5.0000	57.5556	1.888889
13	5.3333	5.5000	52.3889	1.888889
13	5.3333	6.0000	46.2222	1.888889
13	6.0000	0.0000	48.0000	1.888889
13	6.0000	0.5000	53.5000	1.888889
13	6.0000	1.0000	58.0000	1.888889
13	6.0000	1.5000	61.5000	1.888889
13	6.0000	2.0000	64.0000	1.888889
13	6.0000	2.5000	65.5000	1.888889
13	6.0000	3.0000	66.0000	1.888889
13	6.0000	3.5000	65.5000	1.888889
13	6.0000	4.0000	64.0000	1.888889
13	6.0000	4.5000	61.5000	1.888889
13	6.0000	5.0000	58.0000	1.888889
13	6.0000	5.5000	53.5000	1.888889
13	6.0000	6.0000	48.0000	1.888889
13	6.6667	0.0000	40.8889	1.888889
13	6.6667	0.5000	47.0556	1.888889
13	6.6667	1.0000	52.2222	1.888889
13	6.6667	1.5000	56.3889	1.888889
13	6.6667	2.0000	59.5556	1.888889
13	6.6667	2.5000	61.7222	1.888889
13	6.6667	3.0000	62.8889	1.888889
13	6.6667	3.5000	63.0556	1.888889
13	6.6667	4.0000	62.2222	1.888889
13	6.6667	4.5000	60.3889	1.888889
13	6.6667	5.0000	57.5556	1.888889
13	6.6667	5.5000	53.7222	1.888889
13	6.6667	6.0000	48.8889	1.888889
13	7.3333	0.0000	32.8889	1.888889
13	7.3333	0.5000	39.7222	1.888889
13	7.3333	1.0000	45.5556	1.888889
13	7.3333	1.5000	50.3889	1.888889
13	7.3333	2.0000	54.2222	1.888889
13	7.3333	2.5000	57.0556	1.888889
13	7.3333	3.0000	58.8889	1.888889
13	7.3333	3.5000	59.7222	1.888889
13	7.3333	4.0000	59.5556	1.888889
13	7.3333	4.5000	58.3889	1.888889
13	7.3333	5.0000	56.2222	1.888889
13	7.3333	5.5000	53.0556	1.888889
13	7.3333	6.0000	48.8889	1.888889
13	8.0000	0.0000	24.0000	1.888889
13	8.0000	0.5000	31.5000	1.888889
13	8.0000	1.0000	38.0000	1.888889
13	8.0000	1.5000	43.5000	1.888889
13	8.0000	2.0000	48.0000	1.888889
13	8.0000	2.5000	51.5000	1.888889
13	8.0000	3.0000	54.0000	1.888889
13	8.0000	3.5000	55.5000	1.888889
13	8.0000	4.0000	56.0000	1.888889
13	8.0000	4.5000	55.5000	1.888889
13	8.0000	5.0000	54.0000	1.888889
13	8.0000	5.5000	51.5000	1.888889
13	8.0000	6.0000	48.0000	1.888889
19	0.0000	0.0000	72.0000	1.259259
19	0.0000	0.3333	71.7778	1.259259
19	0.0000	0.6667	71.1111	1.259259
19	0.0000	1.0000	70.0000	1.259259
19	0.0000	1.3333	68.4444	1.259259
19	0.0000	1.6667	66.4444	1.259259
19	0.0000	2.0000	64.0000	1.259259
19	0.0000	2.3333	61.1111	1.259259
19	0.0000	2.6667	57.7778	1.259259
19	0.0000	3.0000	54.0000	1.259259
19	0.0000	3.3333	49.7778	1.259259
19	0.0000	3.6667	45.1111	1.259259
19	0.0000	4.0000	40.0000	1.259259
19	0.0000	4.3333	34.4444	1.259259
19	0.0000	4.6667	28.4444	1.259259
19	0.0000	5.0000	22.0000	1.259259
19	0.0000	5.3333	15.1111	1.259259
19	0.0000	5.6667	7.7778	1.259259
19	0.0000	6.0000	0.0000	1.259259
19	0.4444	0.0000	72.6914	1.259259
19	0.4444	0.3333	72.7654	1.259259
